"City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal","latitude","longitude","n"
"Athens",2004,"Athletics","Athletics","4x100m relay","BAILEY, Aleen","Women","JAM","Jamaica","W","Gold",18.109581,-77.297508,30
"Athens",2004,"Athletics","Athletics","high jump","HOLM, Stefan","Men","SWE","Sweden","M","Gold",60.128161,18.643501,19
"Athens",2004,"Athletics","Athletics","marathon","NOGUCHI, Mizuki","Women","JPN","Japan","W","Gold",36.204824,138.252924,145
"Athens",2004,"Athletics","Athletics","200m","CAMPBELL-BROWN, Veronica","Women","JAM","Jamaica","W","Gold",18.109581,-77.297508,30
"Athens",2004,"Athletics","Athletics","4x400m relay","TROTTER, Deedee","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Badminton","Badminton","doubles","ZHANG, Jiewen","Women","CHN","China","W","Gold",35.86166,104.195397,278
"Athens",2004,"Badminton","Badminton","doubles","ZHANG, Jun","Men","CHN","China","X","Gold",35.86166,104.195397,278
"Athens",2004,"Badminton","Badminton","doubles","YANG, Wei","Women","CHN","China","W","Gold",35.86166,104.195397,278
"Athens",2004,"Badminton","Badminton","singles","HIDAYAT, Taufik","Men","INA","Indonesia","M","Gold",-0.789275,113.921327,12
"Athens",2004,"Badminton","Badminton","doubles","HA, Tae-Kwon","Men","KOR","Korea, South","M","Gold",NA,NA,130
"Athens",2004,"Badminton","Badminton","doubles","GAO, Ling","Women","CHN","China","X","Gold",35.86166,104.195397,278
"Athens",2004,"Badminton","Badminton","singles","ZHANG, Ning","Women","CHN","China","W","Gold",35.86166,104.195397,278
"Athens",2004,"Badminton","Badminton","doubles","KIM, Dong Moon","Men","KOR","Korea, South","M","Gold",NA,NA,130
"Athens",2004,"Baseball","Baseball","baseball","URRUTIA, Osmanis","Men","CUB","Cuba","M","Gold",21.521757,-77.781167,108
"Athens",2004,"Baseball","Baseball","baseball","BETANCOURT CHACON, Danny","Men","CUB","Cuba","M","Gold",21.521757,-77.781167,108
"Athens",2004,"Baseball","Baseball","baseball","PESTANO, Ariel","Men","CUB","Cuba","M","Gold",21.521757,-77.781167,108
"Athens",2004,"Baseball","Baseball","baseball","GOURRIEL CASTILLO, Yulieski","Men","CUB","Cuba","M","Gold",21.521757,-77.781167,108
"Athens",2004,"Baseball","Baseball","baseball","GONZALEZ, Norberto","Men","CUB","Cuba","M","Gold",21.521757,-77.781167,108
"Athens",2004,"Baseball","Baseball","baseball","PALMA, Adiel","Men","CUB","Cuba","M","Gold",21.521757,-77.781167,108
"Athens",2004,"Baseball","Baseball","baseball","MACHADO MORALES, Roger","Men","CUB","Cuba","M","Gold",21.521757,-77.781167,108
"Athens",2004,"Baseball","Baseball","baseball","TABARES PADILLA, Carlos Alberto","Men","CUB","Cuba","M","Gold",21.521757,-77.781167,108
"Athens",2004,"Baseball","Baseball","baseball","CHARLES MARTINEZ, Yorelvis","Men","CUB","Cuba","M","Gold",21.521757,-77.781167,108
"Athens",2004,"Baseball","Baseball","baseball","SCULL, Antonio","Men","CUB","Cuba","M","Gold",21.521757,-77.781167,108
"Athens",2004,"Baseball","Baseball","baseball","LAZO, Pedro Luis","Men","CUB","Cuba","M","Gold",21.521757,-77.781167,108
"Athens",2004,"Baseball","Baseball","baseball","MONTIETH HERRERA, Frank Andy","Men","CUB","Cuba","M","Gold",21.521757,-77.781167,108
